name,description,price,barcode,available_items,category,brand
Gentamicin Sulfate,"Occlusion of Portal Vein, Percutaneous Approach",601,511959446-8,5,Gentamicin Sulfate,"Preferred Pharmaceuticals, Inc."
Erythropoietin,"Extirpation of Matter from Parathyroid Gland, Open Approach",194,037324970-5,9,PROCRIT,"Janssen Products, LP"
Permethrin,"Supplement R Abd Bursa/Lig w Autol Sub, Perc Endo",737,968565812-9,3,Permethrin,"H.J. Harkins Company, Inc."
PROMETHAZINE HYDROCHLORIDE,"Destruction of Left Upper Femur, Percutaneous Approach",612,291200478-0,8,Phenergan,Baxter Healthcare Corporation
Alcohol,"Introduction of Liquid Brachy into Mouth/Phar, Perc Approach",492,297530637-7,10,Hand Sanitizer,Wal-Mart Stores Inc.
"Avobenzone, Octinoxate, Octisalate","Removal of Synth Sub from L Thumb Phalanx, Open Approach",477,815260935-8,1,Daily Moisturizer Broad-Spectrum SPF 30,Mana Products
Amoxicillin and Clavulanate Potassium,"Release Left Femoral Artery, Open Approach",975,760026569-9,4,Amoxicillin and Clavulanate Potassium,Aurobindo Pharma Limited
"Aesculus carnea, flos, Aesculus hippocastanum, flos, Agrimonia eupatoria, flos, Antimonium crudum, Avena sativa, Chamomilla, Colocynthis, Crocus sativus, Ferrum metallicum, Impatiens glandulifera, flos, Kali carbonicum, Natrum muriaticum, Populus tremula, flos, Staphysagria, Thyroidinum","Removal of Int Fix from R Metatarsotars Jt, Extern Approach",238,314252510-6,8,Easily Angered,King Bio Inc.
Amitriptyline Hydrochloride,"Destruction of Left Metacarpal, Percutaneous Approach",408,972957049-3,6,Amitriptyline Hydrochloride,Lake Erie Medical DBA Quality Care Products LLC
mucor racemosus,Beam Radiation of Larynx using Photons 1 - 10 MeV,474,108236776-1,7,Pleo Muc,Sanum Kehlbeck GmbH & Co. KG
exenatide,"Replacement of L Pulm Vein with Nonaut Sub, Open Approach",477,210434839-0,4,BYDUREON,AstraZeneca Pharmaceuticals LP
Sucralfate,"Supplement Peroneal Nerve with Autol Sub, Perc Approach",471,776936318-7,8,Sucralfate,REMEDYREPACK INC.
Sweetgum,Removal of Bandage on Left Upper Arm,24,816265420-8,4,LIQUIDAMBAR STYRACIFLUA POLLEN,"ALK-Abello, Inc."
PSEUDOGNAPHALIUM OBTUSIFOLIUM and CAUSTICUM and COLCHICUM AUTUMNALE BULB and CITRULLUS COLOCYNTHIS FRUIT PULP and IRON and LITHIUM BENZOATE and TOXICODENDRON PUBESCENS LEAF and FILIPENDULA ULMARIA ROO,"Destruction of Left Adrenal Gland, Open Approach",82,127544270-6,5,Neuralgo-Rheum,Heel Inc
"Conium Maculatum, Dulcamara, Echinacea, Aesculus Hippocastanum, Antimonium Tartaricum, Ascorbic Acid","Revision of Synth Sub in L Ankle Jt, Extern Approach",656,648500353-3,2,Detox,"Deseret Biologicals, Inc."
Titanium Dioxide and Zinc Oxide,"Excision of Left Upper Eyelid, Percutaneous Approach",849,948787090-3,1,SkinCeuticals Physical Fusion UV Defense Broad Spectrum SPF 50 Sunscreen,L'Oreal USA Products Inc
ropinirole,"Removal of Synth Sub from Low Intest Tract, Perc Approach",687,633982825-6,2,ropinirole,"Glenmark Generics Inc., USA"
Treatment Set TS349291,"Release Right Internal Iliac Artery, Percutaneous Approach",137,675971611-6,9,Treatment Set TS349291,"Antigen Laboratories, Inc."
lisdexamfetamine dimesylate,"Excision of L Great Saphenous, Perc Approach, Diagn",348,246031534-1,8,Vyvanse,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC
Firebush/Burning Bush,"Bypass R Pulm Art from Subclav with Autol Art, Open Approach",568,398692395-0,7,Firebush/Burning Bush,"Nelco Laboratories, Inc."
nitroglycerin,"Bypass Left Ventricle to Cor Circ, Perc Endo Approach",222,054820299-0,5,Minitran,"Graceway Pharmaceuticals, LLC"
levonorgestrel,"Replacement of Left Knee Joint with Autol Sub, Open Approach",934,616186168-2,8,Next Choice,"Preferred Pharmaceuticals, Inc"
SODIUM MONOFLUOROPHOSPHATE,"Drainage of Low Esophag with Drain Dev, Perc Endo Approach",358,704004653-9,10,NUGA TOURCIA,"NUGA MEDICAL CO., LTD."
Proparacaine Hydrochloride,"Upper Bones, Supplement",50,433872158-8,3,Proparacaine Hydrochloride,"Preferred Pharmaceuticals, Inc."
"Titanium Dioxide, OCTINOXATE, Zinc Oxide","Dilate of L Temporal Art with 4+ Intralum Dev, Open Approach",307,441515896-X,5,PROVENCE FOUNDATION,"NATURE REPUBLIC CO., LTD."
"Zinc Oxide, Octinoxate, Octisalate","Replacement of L Up Arm Tendon with Synth Sub, Open Approach",370,467091914-8,2,Neova DNA Damage Control - Everyday,"PhotoMedex, Inc."
Escitalopram oxalate,"Excision of R Metacarpophal Jt, Open Approach, Diagn",234,895619777-6,10,Lexapro,Cardinal Health
RHIZOPUS BATATAS,"Release Right Lower Eyelid, Open Approach",588,855326211-1,9,RHIZOPUS ARRHIZUS VAR ARRHIZUS,"ALK-Abello, Inc."
OXYGEN,"Removal of Monitoring Device from Low Intest Tract, Endo",611,097043988-1,3,OXYGEN,Terre Haute Home Health Care Products dba Anderson's Medical Products
"Avobenzone, Homosalate, Octisalate, Octocrylene and Oxybenzone","Revision of Zooplastic Tissue in Heart, Perc Approach",973,414356753-9,6,Kiehls Since 1851 Activated Sun Protector for Face Broad Spectrum SPF 50 Sunscreen,L'Oreal USA Products Inc
Simethicone,"Revision of Spacer in Right Sacroiliac Joint, Perc Approach",238,971998594-1,7,MYTAB For GAS,Qualitest Pharmaceuticals
Wingscale,"Revision of Autol Sub in Hepatobil Duct, Endo",48,227407737-1,2,Wingscale,"Nelco Laboratories, Inc."
Cetirizine Hydrochloride,"Reposition Nose, Open Approach",262,370605718-2,8,Cetirizine Hydrochloride,Proficient Rx LP
"OCTINOXATE, AVOBENZONE","Removal of Monitoring Device from Right Lung, Via Opening",604,529499492-5,8,BAUME PRODIGIEUX LEVRES 04 RED CHARISMATIC,LABORATOIRE NUXE
quetiapine fumarate,"Revision of Synth Sub in Urethra, Perc Endo Approach",658,132524578-X,4,quetiapine fumarate,Apotex Corp.
Magnesium Hydroxide,"Release Innominate Artery, Percutaneous Approach",267,135473547-1,9,Milk of Magnesia,"Pharmaceutical Associates, Inc."
blue ridge blueberry,"Insertion of Infusion Device into R Pulm Vein, Perc Approach",315,914337651-7,8,BLUEBERRY,"Allergy Laboratories, Inc."
Finasteride,"Remove Radioact Elem from Trunk Subcu/Fascia, Perc",480,411201426-0,4,Finasteride,"Preferred Pharmaceuticals, Inc."
sertraline hydrochloride,"Supplement L Abd Bursa/Lig w Nonaut Sub, Perc Endo",584,954635536-4,8,Sertraline Hydrochloride,Mylan Institutional Inc.
Mometasone Furoate,"Release Right Metacarpal, Percutaneous Endoscopic Approach",745,744816183-0,1,Mometasone Furoate,Perrigo New York Inc
indomethacin,"Insertion of Infusion Dev into Mid Colic Art, Open Approach",962,037336859-3,4,INDOMETHACIN,Bryant Ranch Prepack
formoterol fumarate,"Destruction of Right Radial Artery, Percutaneous Approach",333,546868904-9,7,Foradil,Merck Sharp & Dohme Corp.
Cefazolin,"Release Left Sphenoid Sinus, Percutaneous Approach",263,838839653-6,2,Cefazolin,Cardinal Health
LISINOPRIL AND HYDROCHLOROTHIAZIDE,"Supplement R Low Extrem Lymph with Autol Sub, Open Approach",997,742554884-4,5,LISINOPRIL AND HYDROCHLOROTHIAZIDE,"Blenheim Pharmacal, Inc."
salicylic acid,"Removal of Infusion Device from R Low Extrem, Perc Approach",692,888079210-5,9,Keralyt,Summers Laboratories Inc
Benzoyl Peroxide,"Dilate of Trans Colon with Intralum Dev, Perc Endo Approach",833,513858921-0,8,Cleanser,CarePluss Pharma S.A. de C.V.
Salicylic Acid,"Inspection of Gallbladder, Percutaneous Approach",652,689402943-1,6,AcneFree Clear Skin Treatments Gentle Acne Scrub,University Medical Pharmaceuticals Corp
Cetirizine Hydrochloride,Nonimag Nucl Med Prob of Low Extrem using Technetium 99m,633,348479468-2,10,Childrens Cetirizine Hydrochloride Hives Relief,Aurobindo Pharma Limited
zolpidem tartrate,"Transfer L Up Arm Muscle with Skin, Subcu, Open Approach",644,119454827-X,3,Zolpidem Tartrate,"Physicians Total Care, Inc."
Benzalkonium Chloride,"Repair Right Brachial Artery, Percutaneous Approach",354,275071761-2,2,Abridge Cold Sore Treatment,Ranir LLC
"Hypothalamus, Hepar Suis, Methyl B12, Renal Suis, Gambogia, Graphites","Release Right Hand Bursa and Ligament, Open Approach",804,963316422-2,3,Oral hCG Activator,"ABCO Laboratories, Inc."
Epstein Barr Virus Remedy 30X,"Excision of Right Acromioclavicular Joint, Open Approach",843,877909222-5,4,Epstein Barr Virus Remedy,Apotheca Company
adenosine,"Extirpation of Matter from L Diaphragm, Perc Endo Approach",464,498047607-4,2,Adenosine,Sagent Pharmaceuticals
Oxycodone Hydrochloride,"Excision of Left Toe Phalanx, Percutaneous Approach",229,534684208-X,5,Oxycodone Hydrochloride,"Glenmark Generics, Inc"
ALCOHOL,"Excision of Skull, Percutaneous Approach",692,795198515-5,3,Icee Strawberry Scented Hand Sanitizer,"Zhejiang Blue Dream Cosmetics Co., Ltd."
Ergocalciferol,Beam Radiation of Pelvic Bones using Heavy Particles,289,659351867-0,6,Ergocalciferol,"Breckenridge Pharmaceutical, Inc."
glipizide,"Repair Sciatic Nerve, Percutaneous Endoscopic Approach",932,869249259-0,6,Glipizide,Greenstone LLC
Tolnaftate,"Replacement of R Up Eyelid with Autol Sub, Perc Approach",25,262968927-1,4,Family Care Tolnaftate,united exchange corp
Pyrithione Zinc,"Repair Lesser Omentum, Percutaneous Endoscopic Approach",725,581583146-8,8,Head and Shoulders,Procter & Gamble Manufacturing Co.
"Menthol, Camphor, Eucalyptus Oil","Drainage of Left Temporal Artery, Open Approach",561,971913858-0,1,Assured Vaporizing Chest Rub,"Blue Cross Laboratories, Inc."
Sodium Fluoride,"Inspection of Lower Bursa and Ligament, External Approach",587,705002670-0,6,Oral Defense,Oral Defense
Warfarin Sodium,"Psychological Tests, Intellectual and Psychoeducational",336,707155901-5,10,Warfarin Sodium,"Aphena Pharma Solutions - Tennessee, LLC"
SIROLIMUS,"Drainage of Pericard Cav with Drain Dev, Perc Endo Approach",64,937860384-X,4,Rapamune,"Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc."
fentanyl citrate,"Replacement of L Femor Vein with Nonaut Sub, Open Approach",989,769281413-9,5,ACTIQ,"Cephalon, Inc."
Titanium Dioxide,"Occlusion of L Brach Art with Extralum Dev, Open Approach",883,271680055-3,2,BareMinerals Faux Tan,Bare Escentuals Beauty Inc.
Zaleplon,"Insert of Infusion Dev into L Acromioclav Jt, Open Approach",9,901832250-4,9,Zaleplon,Teva Pharmaceuticals USA Inc
ENALAPRIL MALEATE,"Removal of Drainage Device from Finger Nail, Extern Approach",1000,599864963-X,8,ENALAPRIL MALEATE,Major Pharmaceuticals
Avobenzone and Octinoxate,"Excision of Right Radius, Percutaneous Approach",979,866525788-8,9,Phelityl Day SPF 15,"Erno Laszlo, Inc."
Octinoxate and Oxybenzone,"Repair Right Knee Region, Percutaneous Endoscopic Approach",920,355258690-3,5,ESIKA,"Ventura Corporation (San Juan, P.R)"
SALICYLIC ACID,"Revision of Nonaut Sub in Ureter, Extern Approach",525,771213265-8,4,ACNE SOLUTIONS CLEARING CONCEALER,CLINIQUE LABORATORIES INC
risperidone,"Bypass 4+ Cor Art from Cor Art w Nonaut Sub, Perc Endo",288,514707121-0,3,risperidone,Cadila Healthcare Limited
oxymetazoline hydrochloride,"Removal of Ext Fix from L Finger Phalanx, Open Approach",710,606128309-1,5,rx act nasal,H E B
bismuth subsalicylate,"Excision of Right Thyroid Artery, Perc Approach, Diagn",494,623081462-5,10,Pink Bismuth,Qualitest Pharmaceuticals
Glimepiride,"Drainage of Upper Artery with Drain Dev, Perc Endo Approach",29,556906430-3,5,Glimepiride,"Carlsbad Technology, Inc."
Carisoprodol,"Replace of L Temporal Art with Synth Sub, Perc Endo Approach",103,988503739-X,8,Carisoprodol,"Mutual Pharmaceutical Company, Inc."
pacific halibut,Beam Radiation of Chest using Neutrons,853,163082085-7,8,HALIBUT,"Allergy Laboratories, Inc."
nitroglycerin,"Revision of Int Fix in R Metatarsal, Perc Endo Approach",946,967404075-7,3,Nitrostat,A-S Medication Solutions LLC
Phenylephrine HCl,"Revision of Infusion Dev in Vas Deferens, Perc Endo Approach",357,467804156-7,2,Phenylephrine HCl,Cantrell Drug Company
fentanyl transdermal system,"Removal of Ext Fix from L Toe Phalanx, Open Approach",264,326218381-4,6,FENTANYL TRANSDERMAL SYSTEM,Bryant Ranch Prepack
ETHYL ALCOHOL,"Removal of Drainage Device from Occip Jt, Extern Approach",634,570776742-8,9,Infectiguard Hand Sanitizer,"Dr. Fresh, Inc."
temazepam,"Remove Monitor Dev from Low Intest Tract, Perc Endo",672,849627207-9,1,Temazepam,"Aphena Pharma Solutions - Tennessee, LLC"
bethanechol chloride,"Drainage of Right Hepatic Duct with Drainage Device, Endo",472,777446254-6,2,bethanechol chloride,American Health Packaging
"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate","Repair Left External Iliac Artery, Open Approach",341,146972150-3,2,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate","Global Pharmaceuticals, Division of Impax Laboratories Inc."
"Althaea officinalis, Prunus virginiana, Inula helenium",Altern Bi/Mon Loud Bal Assessment using Audiometer,953,047169164-X,7,Wellness4Cough Syrup,Source Naturals
fluocinolone acetonide,"Supplement Tongue with Autol Sub, Extern Approach",362,568078665-6,3,Synalar TS,"Medimetriks Pharmaceuticals, Inc."
Loratadine,Perceptual Processing Treatment,913,753868004-7,1,Loratadine,Premier Value
ropinirole,"Bypass L Ventricle to L Pulm Art w Autol Vn, Perc Endo",862,964184760-0,1,REQUIP,GlaxoSmithKline LLC
CYCLOBENZAPRINE HYDROCHLORIDE,"Occlusion of L Thyroid Art with Extralum Dev, Perc Approach",334,827442652-5,4,CYCLOBENZAPRINE HYDROCHLORIDE,STAT RX USA LLC
Aureobasidium Pullularia Pullulans,"Excision of Right Clavicle, Percutaneous Approach, Diagn",86,586199833-7,7,AUREOBASIDIUM PULLULANS VAR PULLULANS,"ALK-Abello, Inc."
Guaifenesin,Ultrasonography of Superior Vena Cava,673,182328046-3,1,Tussin,Medicine Shoppe International Inc
risperidone,"Restriction of R Ext Iliac Art, Perc Endo Approach",398,144014948-8,1,risperidone,Cardinal Health
ARTEMISIA ABROTANUM FLOWERING TOP,"Bypass 4+ Cor Art from Thor Art w Autol Art, Perc Endo",885,619635345-4,10,Indigestion,Natural Health Supply
"Titanium Dioxide, Octinoxate",Compression of Left Toe using Pressure Dressing,482,691067598-3,2,Long Lasting Finish with Comfort Serum,Rimmel Inc.
HYDROCODONE BITARTRATE AND ACETAMINOPHEN,"Replace of L Humeral Head with Synth Sub, Perc Endo Approach",990,609638155-3,9,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,Cardinal Health
Acetazolamide,"Removal of Drain Dev from Endocrine Gland, Perc Approach",754,703099732-8,3,Acetazolamide,"Taro Pharmaceuticals U.S.A., Inc."
Carboplatin,"Replace L Temporal Bone w Nonaut Sub, Perc Endo",968,698929527-9,2,Carboplatin,"Hospira Worldwide, Inc."
"Acetaminophen, Diphenhydramine HCl","Bypass L Foot Vein to Low Vein w Nonaut Sub, Perc Endo",262,817077128-5,5,pain relief pm,Meijer Distribution Inc
Cephalexin,"Reposition Right Palatine Bone, Percutaneous Approach",771,363137398-8,2,Cephalexin,TYA Pharmaceuticals
Salicylic Acid,"Monitoring of Arterial Pressure, Peripheral, Open Approach",5,033142770-2,6,Clearasil Ultra,Reckitt Benckiser LLC
Bisacodyl,"Fusion of R Toe Phalanx Jt with Int Fix, Perc Endo Approach",246,803305532-4,5,Fleet,"C.B. Fleet Company, Inc."
tolnaftate,"Insertion of Intralum Dev into Sup Mesent Art, Open Approach",353,995982188-9,9,Sunmark athletes foot liquid spray,McKesson
Polyvinyl Alcohol,Magnetic Resonance Imaging (MRI) of Left Shoulder,531,227315155-1,9,LiquiTears,"H.J. Harkins Company, Inc."
ROPIVACAINE HYDROCHLORIDE,"Drainage of Left Kidney, Percutaneous Approach, Diagnostic",969,171074205-4,2,Naropin,"Fresenius Kabi USA, LLC"
drospirenone and ethinyl estradiol,"Extirpation of Matter from Sacrococcygeal Jt, Perc Approach",1000,043634927-2,6,OCELLA,"Physicians Total Care, Inc."
zolpidem tartrate,"Drainage of Right Wrist Region, Perc Endo Approach, Diagn",497,706765665-6,3,ZOLPIDEM TARTRATE,Wockhardt USA LLC.
Disulfiram,"Destruction of Pudendal Nerve, Open Approach",119,665384041-7,8,Disulfiram,"Golden State Medical Supply, Inc."
Amlodipine Besylate,"Supplement Right 3rd Toe with Synth Sub, Open Approach",309,655309609-0,10,Amlodipine Besylate,American Health Packaging
Amitriptyline Hydrochloride,"Removal of Infusion Device from Hepatobiliary Duct, Endo",787,719547285-X,6,Amitriptyline Hydrochloride,"PD-Rx Pharmaceuticals, Inc."
Mesalamine,"Remove of Drain Dev from Prostate/Seminal Ves, Perc Approach",668,432900696-0,3,Mesalamine,Perrigo New York Inc
temazepam,"Removal of Extraluminal Device from Uterus and Cervix, Endo",390,551300316-3,7,Temazepam,Unit Dose Services
Furosemide,"Extirpation of Matter from Left Atrium, Perc Endo Approach",245,154177206-7,2,Furosemide,Cardinal Health
olanzapine and fuoxetine,"Revision of Drainage Device in Lum Disc, Perc Approach",587,976920540-0,8,Olanzapine and Fluoxetine,"Par Pharmaceutical, Inc"
OCTINOXATE and TITANIUM DIOXIDE,"Dilate L Com Carotid, Bifurc, w Intralum Dev, Perc Endo",813,062980380-3,5,SHISEIDO SHEER AND PERFECT FOUNDATION,SHISEIDO AMERICAS CORPORATION
tobramycin and dexamethasone,"Supplement Right Axillary Vein with Synth Sub, Open Approach",833,465284486-7,1,TobraDex,"Alcon Laboratories, Inc."
Sodium Fluoride,"Drainage of Left Upper Extremity Lymphatic, Perc Approach",160,277255054-0,10,Burkhart,Burkhart Dental Supply Inc
Black Birch,Motor Function Treatment of Neuro Body using Oth Equip,939,485200894-9,7,Black Birch,"Nelco Laboratories, Inc."
LEDUM PALUSTRE TWIG,"Alteration of Female Perineum with Synth Sub, Open Approach",343,298046159-8,7,LEDUM PAL.,Hyland's
IRBESARTAN,"Excision of R Ankle Bursa/Lig, Perc Endo Approach, Diagn",49,422451701-9,2,AVAPRO,Bristol-Myers Squibb Company
chlorhexidine gluconate and isopropyl alcohol,"Reposition R Metacarpophal Jt with Ext Fix, Extern Approach",988,829868261-0,6,ChloraPrep One-Step,CareFusion 213 LLC
ALCOHOL,"Female Reproductive System, Restriction",686,295936228-4,6,HARRIS TEETER,HARRIS TEETER
Octinoxate and Titanium dioxide,"Excision of R Sup Parathyroid, Perc Endo Approach, Diagn",684,979738156-0,8,CLE DE PEAU BEAUTE SMOOTHING BASE FOR PORES,"SHISEIDO CO., LTD."
Minocycline Hydrochloride,HDR Brachytherapy of Spleen using Oth Isotope,521,792235096-1,3,Minocycline Hydrochloride,"Actavis Pharma, Inc."
Warfarin Sodium,"Drainage of Hymen with Drainage Device, Open Approach",215,689511119-0,10,Warfarin Sodium,"Golden State Medical Supply, Inc."
Oxaliplatin,"Extirpate of Matter from Minor Salivary Gland, Perc Approach",11,797786951-9,10,Oxaliplatin,Mylan Institutional LLC
Capsaicin,"Excision of Right Buttock, Percutaneous Approach",729,489672642-1,5,CVS Medicated Heat 1 ct,"CVS Pharmacy, Inc."
"Acetaminophen, Phenylephrine HCl, Dextromethorphan HBr and Guiafenesin","Reposition R Metatarsotars Jt with Int Fix, Open Approach",559,694229336-9,10,Severe Multi-Symptom Cold,"VALUE MERCHANDISERS COMPANY, INC."
tiagabine hydrochloride,"Detachment at Right Hand, Complete 3rd Ray, Open Approach",38,202060736-0,1,GABITRIL,"Cephalon, Inc."
levetiracetam,"Dilation of Coronary Artery, One Artery, Perc Approach",947,614231380-2,6,Levetiracetam,Qualitest Pharmaceuticals
Irbesartan,"Extirpation of Matter from Left Atrium, Perc Approach",57,807193516-6,2,Irbesartan,Teva Pharmaceuticals USA Inc
ALCOHOL,"Drainage of Upper Vein with Drain Dev, Perc Endo Approach",907,203025304-9,4,PURELL Advanced Instant Hand Sanitizer,"GOJO Industries, Inc."
ALCOHOL,"Drainage of Facial Muscle, Perc Endo Approach, Diagn",2,916782511-7,1,SUKANG Alcohol Prep Pads Medium,Taizhou Kanglin Health Protection Products Co Ltd
OCTINOXATE and ZINC OXIDE,"Drainage of Abducens Nerve with Drain Dev, Perc Approach",9,125962988-0,5,OBAGI-C RX SYSTEM SUN SHIELD BROAD SPECTRUM SPF 50,"OMP, Inc."
"Alfalfa, Calcarea carbonica, Calcarea fluorica, Calcarea phosphorica, Hydrofluoricum acidum, Shark cartilage, Symphytum officinale,","Occlusion of Esophagus with Intralum Dev, Perc Approach",538,145802108-4,1,Calcium Plus,"Liddell Laboratories, Inc."
Diazepam,"Supplement Chordae Tendineae w Synth Sub, Perc Endo",775,369512108-4,4,Diazepam,Rebel Distributors Corp.
Repaglinide,"Extirpation of Matter from Left Scapula, Open Approach",643,158678296-7,1,Repaglinide,Aurobindo Pharma Limited
Psyllium Husk,"Excision of Right Brachial Artery, Perc Endo Approach",827,914134737-4,6,Leader,Cardinal Health
isotretinoin,"Extraction of Lumbar Nerve, Open Approach",772,325272859-1,8,Myorisan,"Physicians Total Care, Inc."
amlodipine besylate and benazepril hydrochloride,Cochlear Implant Assessment using Other Equipment,220,401127803-3,3,amlodipine besylate and benazepril hydrochloride,"NCS HealthCare of KY, Inc dba Vangard Labs"
"BELLADONNA LEAF, SANGUINARIA CANADENSIS ROOT, SPIGELIA","Dilation of Right Lacrimal Duct, Open Approach",982,957346019-X,9,Sinusalia,Labratoires Boiron
potassium chloride,"Transfer Olfact Nrv to Hypogloss Nrv, Perc Endo Approach",492,455627495-8,10,Potassium Chloride,Clinical Solutions Wholesale
Octinoxate and Oxybenzone,"Supplement Right Ring Finger with Nonaut Sub, Open Approach",571,255030163-3,6,ESIKA,"Ventura Corporation (San Juan, P.R)"
"LISINOPRIL, ARGININE","Removal of Nonaut Sub from R Patella, Perc Approach",334,879401675-5,5,Lytensopril-90,Physician Therapeutics LLC
Sodium chloride,"Bypass R Com Iliac Art to B Ext Ilia w Nonaut Sub, Open",557,554867021-2,2,Aqua Maris Isotonised,JGL North America LLC
Triclosan,Ultrasonography of Gastrointestinal Tract,636,938006251-6,2,Cranberry Antibacterial Foaming Hand Wash,"SJ Creations, Inc."
"calendula officinalis, iris versicolor, ranunculus bulbosus","Restriction of Left Common Iliac Vein, Percutaneous Approach",832,836716027-4,5,H-Shingles Formula,Healing Natural Oils
Sodium Fluoride,"Replacement of L Wrist Jt with Autol Sub, Open Approach",573,116435470-1,7,Opalescence Plus,"Ultradent Products, Inc."
Helleborus e pl. tota 2,"Removal of Drainage Device from Brain, Perc Endo Approach",165,077008198-3,10,Helleborus e pl. tota 2,Uriel Pharmacy Inc.
Divalproex Sodium,"Insert of Ext Fix into R Humeral Shaft, Perc Endo Approach",62,618039257-9,4,Divalproex Sodium,Unit Dose Services
LOPERAMIDE HYDROCHLORIDE,"Occlusion Pelvis Lymph w Extralum Dev, Perc Endo",199,551143827-8,5,Anti-Diarrheal,"Dolgencorp, Inc. (DOLLAR GENERAL & REXALL)"
Bacitracin,"Destruction of Ascending Colon, Endo",494,615776423-6,3,BACITRACIN,CVS Pharmacy
nitroglycerin,"Introduce Oth Antineoplastic in Central Art, Open",661,617004629-5,5,NITRO-DUR,Merck Sharp & Dohme Corp.
Diphenhydramine Hydrochloride and Zinc Acetate,"Release Finger Nail, External Approach",769,629667479-1,3,TopCare,Topco Associates LLC
paliperidone palmitate,"Release Right Lower Lung Lobe, Open Approach",591,484407953-0,7,INVEGA SUSTENNA,"Janssen Pharmaceuticals, Inc."
carisoprodol,Computer Assisted Procedure of Upper Extremity,877,446108830-8,7,Carisoprodol,Wallace Pharmaceuticals Inc.
ALCOHOL,"Supplement Descending Colon with Synth Sub, Open Approach",200,882934862-7,2,Lisa Frank Bubblegum Antiseptic Hand Cleansing,"Ningbo Pulisi Daily Chemical Products Co., Ltd."
Trichoderma harzianam,"Tomo Nucl Med Imag Musculo Sys, Oth w Oth Radionuclide",27,043018291-0,2,Trichoderma harzianam,"Nelco Laboratories, Inc."
GELSEMIUM SEMPERVIRENS ROOT,"Reposition Left Ulna with Monopln Ext Fix, Open Approach",140,842259175-8,8,Flu Headache,Natural Health Supply
Acetaminophen,"Replace Aort Valve w Zoopl Rapid Depl, Perc Endo, New Tech 2",245,726998519-7,3,pain relief,Meijer Distribution Inc
ALPRAZOLAM,"Bypass L Pulm Art from Carotid with Autol Vn, Open Approach",146,078769712-5,4,Alprazolam,Lake Erie Medical DBA Quality Care Products LLC
Cephalexin,"Supplement Chordae Tendineae w Nonaut Sub, Perc Endo",741,595766241-0,8,Cephalexin,"Carlsbad Technology, Inc."
BENZALKONIUM CHLORIDE,"Revision of Extralum Dev in Fallopian Tube, Perc Approach",735,201142348-1,4,Sweet Water Antibacterial Hand Moisturizer,"SJ Creations, Inc."
PENTOXIFYLLINE,"Introduction of Vasopressor into Central Art, Open Approach",355,605584768-X,10,PENTOXIFYLLINE,"Golden State Medical Supply, Inc."
HYDROCODONE BITARTRATE AND ACETAMINOPHEN,"Supplement L Wrist with Nonaut Sub, Perc Endo Approach",856,325892354-X,2,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,McKesson Contract Packaging
tinidazole,"Supplement R Brach Vein with Nonaut Sub, Perc Endo Approach",201,694068369-0,1,Tindamax,Mission Pharmacal Company
BENZALKONIUM CHLORIDE,"Restriction of Pelvis Lymph with Extralum Dev, Open Approach",461,416389728-3,7,Neptune E2 ANTISEPTIC HAND,R. L. Williams Company
POTASSIUM CHLORIDE,"Revision of Autol Sub in R Up Extrem, Open Approach",398,385876044-7,7,Potassium Chloride,"Hospira, Inc."
flecainide acetate,HDR Brachytherapy of Thyroid using Cesium 137,210,483012406-7,5,Flecainide Acetate,"Roxane Laboratories, Inc."
Ketoconazole,"Replacement of Pulm Valve with Autol Sub, Perc Endo Approach",867,591241453-1,1,Ketoconazole,Rebel Distributors Corp
LIDOCAINE HYDROCHLORIDE,"Drainage of Ulnar Nerve, Perc Endo Approach, Diagn",826,692940962-6,1,Xylocaine,Cardinal Health
rizatriptan benzoate,"Bypass Cecum to Ascending Colon with Nonaut Sub, Endo",769,425893391-0,2,rizatriptan benzoate,"Glenmark Generics Inc., USA"
vitamin,"Remove Drain Dev from R Acromioclav Jt, Perc Endo",384,554365505-3,5,Kimchi Vitamin,Tobico
SILVER,"Release Right Frontal Sinus, Open Approach",308,386506415-9,6,RHEUMATISM LARYNGITIS,Natural Health Supply
HYDROMORPHONE HYDROCHLORIDE,"Bypass Left Ureter to Ileum with Nonaut Sub, Open Approach",866,513012369-7,8,HYDROMORPHONE HYDROCHLORIDE,STAT Rx USA LLC
Glyburide and Metformin Hydrochloride,"Destruction of Cerebral Hemisphere, Perc Endo Approach",791,014228914-0,3,Glyburide and Metformin Hydrochloride,"Preferred Pharmaceuticals, Inc."
Black Locust,"Supplement Back Subcu/Fascia w Autol Sub, Open",201,169148672-8,3,Black Locust,"Nelco Laboratories, Inc."
"Lidocaine, Benzalkonium Chloride","Excision of Prostate, Percutaneous Approach",383,103039744-9,7,Hush Anesthetic,HUSH Anesthetic
Ipratropium Bromide,"Excision of Superior Mesenteric Artery, Open Approach",865,338852656-7,10,Ipratropium Bromide,"Preferred Pharmaceuticals, Inc"
